20
14	5	7	5	12	15	16	6	20	6	16	16	5	17	18	18	17	14	12	17	
10	5	14	15	10	9	8	9	12	10	16	12	16	10	10	13	10	8	18	15	
12	5	6	17	9	10	18	15	11	15	5	13	14	15	6	5	18	13	13	7	
15	8	9	12	17	15	11	17	10	10	10	20	11	16	10	5	7	14	13	5	
13	10	6	10	16	5	19	9	17	20	7	9	6	15	17	13	14	5	8	8	
10	7	6	18	15	11	8	12	14	9	17	14	8	9	19	7	9	19	14	7	
10	16	11	14	13	12	5	7	13	18	15	15	7	9	15	12	20	9	9	14	
8	11	9	17	16	16	12	16	6	14	20	17	12	11	18	5	15	7	16	6	
10	13	6	8	17	19	8	15	13	15	5	12	19	5	5	12	8	8	17	13	
8	9	5	13	5	17	17	5	11	17	15	10	9	15	8	14	18	10	19	9	
5	10	10	19	6	8	19	18	10	17	6	16	8	13	13	15	18	14	12	14	
17	14	14	7	20	15	8	19	18	16	19	15	14	11	8	10	20	19	13	6	
18	16	7	15	8	11	14	14	16	17	14	15	17	20	12	17	14	15	5	15	
7	7	16	7	9	12	16	15	18	19	6	20	12	13	6	16	18	8	9	15	
14	6	5	7	12	7	17	7	17	11	17	19	10	5	14	6	8	10	9	9	
19	7	19	16	13	15	20	18	14	9	10	6	19	6	5	11	12	5	8	16	
9	9	9	9	14	8	10	7	10	17	13	7	17	17	15	6	8	17	18	15	
10	15	12	17	20	9	19	11	11	17	12	16	17	13	18	12	8	17	8	18	
19	18	18	14	5	18	17	14	9	13	16	14	12	20	12	18	8	16	8	8	
19	5	9	16	7	13	10	9	9	14	7	5	13	11	8	5	8	9	16	8	
