40
9	11	18	18	7	17	14	11	19	19	16	8	17	18	8	12	8	7	17	16	13	8	17	8	7	10	11	11	14	13	12	12	14	17	8	12	15	6	10	17	
6	9	18	5	8	5	17	17	15	15	10	18	7	7	15	15	18	6	7	11	20	10	14	10	13	14	9	16	13	17	18	12	20	17	13	16	6	10	11	11	
19	17	20	15	16	9	13	11	7	20	14	12	10	20	10	10	18	11	9	11	6	5	18	12	11	17	14	9	18	15	6	12	8	13	11	8	17	19	10	12	
15	13	9	7	17	18	17	5	20	7	14	5	6	20	15	10	11	16	17	5	9	7	6	18	17	9	17	6	11	14	12	18	7	7	10	7	19	20	9	5	
20	19	14	8	19	18	9	9	6	15	9	12	5	11	17	17	6	7	20	5	13	17	18	11	16	13	19	11	15	19	10	5	20	13	13	15	6	6	14	20	
14	16	12	7	15	10	8	9	14	9	6	13	7	10	15	5	20	17	11	5	19	16	6	13	16	19	5	12	16	5	7	7	7	11	7	18	8	10	14	18	
9	15	18	7	5	19	15	14	12	6	9	12	14	16	9	8	19	5	7	20	12	20	15	20	8	14	5	8	6	10	10	19	6	5	16	8	16	12	20	9	
9	13	8	11	8	13	6	13	10	17	12	5	19	15	14	19	19	14	15	8	5	17	19	18	7	20	18	17	6	15	14	13	17	8	17	19	8	7	13	8	
8	20	11	14	17	14	16	15	9	17	19	8	7	12	19	7	8	12	17	10	16	9	13	17	6	12	19	10	9	18	15	7	9	20	18	16	20	15	10	8	
19	19	15	16	14	20	11	12	15	18	11	20	19	13	17	15	10	19	10	12	7	8	13	13	16	8	16	20	10	13	18	8	7	15	19	14	12	15	6	17	
8	10	20	11	14	6	12	16	10	10	12	14	18	13	12	7	12	7	5	17	11	16	7	8	14	7	16	13	17	17	5	9	15	12	8	19	6	20	13	12	
5	6	15	15	13	13	6	13	15	20	6	11	17	16	15	13	11	17	11	9	5	20	18	5	20	18	9	9	11	9	13	14	19	9	11	11	19	18	7	16	
14	19	15	13	13	19	16	9	6	13	16	7	12	9	12	5	11	20	19	8	10	17	17	8	8	14	20	5	12	14	13	6	17	6	11	6	5	17	19	11	
13	19	11	9	20	16	5	7	15	16	18	13	17	12	11	11	10	6	14	13	5	11	20	18	19	15	7	8	15	18	18	8	9	17	5	19	8	13	18	8	
9	19	17	6	11	8	20	17	11	20	7	16	16	11	18	8	14	5	10	11	8	14	11	7	15	16	12	20	10	20	7	18	6	20	10	17	18	14	6	7	
19	7	19	18	14	19	20	13	20	12	6	14	20	20	12	16	5	10	19	14	15	5	16	8	12	13	16	12	19	10	13	7	15	5	20	17	18	16	19	11	
16	12	12	20	9	19	20	10	9	10	10	12	19	5	10	7	12	14	14	14	14	10	20	11	15	14	11	8	5	12	20	10	13	15	7	5	18	5	20	16	
8	14	13	13	14	17	8	18	6	20	16	20	5	12	10	16	16	7	17	14	8	14	9	20	10	6	13	12	13	20	13	7	19	15	19	12	5	6	12	17	
6	7	14	6	12	15	9	8	17	13	14	15	6	6	18	15	20	15	11	11	8	16	12	9	10	13	7	6	14	19	17	19	19	10	16	9	17	5	8	13	
6	18	9	12	11	14	10	10	8	12	9	8	10	8	17	13	9	15	6	20	14	11	20	19	19	20	14	19	12	8	12	14	20	20	19	20	5	5	7	18	
7	16	17	17	7	8	19	11	5	10	14	7	10	5	20	19	12	5	13	17	7	18	11	19	10	6	15	16	15	16	15	8	12	11	6	17	13	12	19	19	
17	12	18	15	8	10	9	7	5	7	6	13	7	5	17	15	6	20	19	10	18	16	7	5	12	9	18	8	18	13	17	16	16	5	18	17	18	5	5	13	
8	5	9	11	12	18	17	18	9	20	19	12	5	15	18	5	18	6	5	7	17	8	18	14	6	15	8	8	18	18	12	7	11	20	12	20	8	18	17	15	
6	18	10	7	20	5	17	10	17	14	6	11	18	5	17	13	8	20	10	20	19	6	14	9	6	17	9	12	10	7	6	8	17	11	14	20	7	6	20	6	
10	18	11	10	12	8	20	16	11	19	9	15	10	16	19	17	17	8	7	12	20	9	7	14	17	15	13	14	9	16	14	18	19	12	20	13	16	7	19	10	
10	7	13	16	16	16	19	16	16	17	12	7	13	8	6	14	10	7	13	15	9	7	15	9	9	7	11	8	12	9	12	16	15	5	11	12	7	19	14	7	
15	20	9	11	14	14	20	9	16	20	19	15	20	11	6	17	7	17	19	15	9	16	20	8	19	8	5	17	15	6	20	19	7	11	7	17	17	12	7	19	
13	18	7	12	11	7	9	5	13	8	12	20	5	17	10	12	10	8	6	16	5	10	8	14	20	20	14	12	10	14	11	6	10	10	16	18	17	5	12	12	
6	20	5	20	5	17	11	18	11	7	15	18	16	19	7	11	15	19	11	18	5	12	6	8	16	14	18	13	11	16	15	8	16	19	17	8	11	14	15	8	
9	10	19	14	18	19	11	16	19	14	7	7	13	17	16	15	8	19	17	17	9	5	7	5	5	6	9	13	16	9	6	15	19	19	8	12	20	18	19	19	
12	11	7	13	6	20	17	11	16	12	14	5	18	5	16	13	5	11	8	10	15	20	16	17	19	13	13	12	16	16	7	20	8	13	9	20	11	5	18	10	
16	11	20	11	14	6	15	5	12	14	7	11	9	18	5	18	19	6	11	12	13	17	18	11	15	12	18	15	6	12	16	13	20	8	5	6	12	8	11	17	
14	6	10	9	19	18	17	16	13	5	16	17	10	14	15	13	9	18	20	14	12	17	19	6	6	20	5	11	14	16	14	13	19	12	11	6	11	18	8	14	
20	8	9	8	5	8	19	10	18	14	5	16	20	5	14	5	5	13	5	17	16	10	7	13	16	5	18	20	13	10	5	8	17	16	16	13	19	12	9	12	
15	20	5	18	18	9	12	16	6	6	12	6	8	9	7	6	11	8	19	6	12	13	10	9	8	18	7	13	5	10	7	13	5	19	9	16	7	19	17	8	
17	19	9	10	6	12	13	7	13	6	10	13	10	6	16	10	16	17	5	10	12	6	10	17	6	6	6	15	20	16	5	15	12	5	15	8	6	15	17	16	
16	5	10	18	7	14	13	18	12	11	14	17	15	8	8	11	20	13	10	14	8	7	16	11	10	7	11	6	12	17	7	20	5	7	14	19	14	17	9	15	
11	16	12	19	11	11	16	6	14	16	10	14	14	15	12	13	10	6	20	7	6	12	8	12	7	18	6	5	10	12	19	18	10	16	19	9	11	19	18	13	
13	18	16	8	17	7	11	18	16	12	8	7	18	5	13	5	18	8	8	7	15	5	9	17	5	20	6	19	16	16	13	20	11	10	14	9	17	9	14	15	
19	18	13	17	9	16	18	13	6	5	8	19	14	7	15	18	17	18	11	14	9	20	10	12	9	13	19	19	14	14	11	7	14	13	19	19	8	17	19	19	
