500
1500
1	109	6	13
2	372	3	6
3	265	12	10
4	237	19	20
5	130	14	3
6	355	20	2
7	210	5	5
8	106	16	16
9	39	13	20
10	417	12	6
11	189	9	19
12	33	16	8
13	12	10	9
14	499	1	4
15	264	20	10
16	366	10	14
17	126	7	18
18	319	8	6
19	452	6	12
20	302	5	4
21	148	3	16
22	397	4	4
23	440	6	3
24	66	16	1
25	497	2	19
26	156	17	20
27	314	20	16
28	160	16	15
29	499	1	18
30	435	17	6
31	18	20	14
32	55	16	14
33	25	17	14
34	283	6	7
35	205	10	9
36	295	16	17
37	132	19	9
38	211	7	15
39	378	15	9
40	238	20	4
41	125	17	6
42	103	17	3
43	41	17	3
44	166	5	5
45	468	13	7
46	328	12	9
47	279	19	11
48	329	12	4
49	398	8	16
50	274	2	9
51	350	9	10
52	193	17	15
53	174	6	7
54	208	1	8
55	140	8	13
56	127	8	10
57	75	13	18
58	311	7	2
59	448	18	10
60	387	17	1
61	87	9	15
62	60	1	19
63	368	20	15
64	138	5	11
65	172	7	20
66	270	4	20
67	21	15	20
68	231	12	1
69	393	17	5
70	496	1	11
71	180	8	15
72	498	3	11
73	86	12	20
74	121	9	3
75	182	7	12
76	87	16	18
77	193	2	9
78	209	5	20
79	221	16	5
80	376	14	15
81	103	2	1
82	133	10	17
83	174	1	4
84	436	14	15
85	382	9	6
86	82	13	5
87	9	9	6
88	224	15	18
89	386	7	3
90	102	1	12
91	483	2	19
92	205	16	2
93	426	16	16
94	43	14	15
95	200	1	4
96	393	1	6
97	50	14	12
98	142	15	11
99	86	13	20
100	453	18	15
101	470	12	13
102	418	19	17
103	388	20	15
104	48	17	20
105	376	3	4
106	445	12	10
107	370	2	3
108	98	12	16
109	377	19	12
110	425	20	14
111	222	19	11
112	266	4	7
113	487	7	15
114	96	12	1
115	255	5	2
116	154	12	5
117	300	1	14
118	128	4	3
119	41	19	17
120	218	20	4
121	65	16	17
122	349	4	11
123	434	14	8
124	270	3	2
125	170	18	3
126	71	4	11
127	66	7	1
128	444	9	10
129	152	2	16
130	167	9	12
131	60	15	2
132	133	1	14
133	265	9	3
134	171	16	13
135	431	13	19
136	312	15	14
137	57	12	4
138	320	2	9
139	239	8	15
140	463	16	7
141	464	16	10
142	418	4	5
143	6	7	17
144	50	12	15
145	115	17	9
146	439	7	16
147	135	5	18
148	374	12	17
149	111	16	9
150	40	7	3
151	423	7	4
152	230	2	7
153	324	2	16
154	395	8	4
155	462	1	13
156	391	19	15
157	17	16	8
158	55	17	2
159	223	3	12
160	367	2	9
