200
1	27	21	22
1	151	24	26
1	48	24	31
1	83	14	18
1	145	22	32
1	143	14	15
1	163	15	22
1	126	1	10
1	153	21	23
1	102	15	23
1	62	13	15
1	145	12	21
1	61	24	28
1	105	17	24
1	189	6	13
1	81	17	20
2	14	6	8
2	98	13	16
2	38	23	27
2	73	18	25
2	98	12	22
2	57	7	17
2	164	5	14
2	16	14	15
2	35	2	5
2	184	15	19
2	148	17	27
2	14	17	25
2	173	19	24
2	49	21	30
2	166	8	9
2	176	24	34
2	133	21	22
2	43	24	27
2	107	11	15
3	117	11	14
3	90	8	10
3	56	5	9
3	29	14	22
3	192	14	23
3	184	4	13
4	96	13	18
4	165	18	25
4	66	9	10
4	154	15	21
4	118	8	13
4	110	13	15
4	50	12	17
4	78	1	6
4	57	24	31
4	3	5	15
4	121	8	12
4	128	5	8
4	67	13	15
4	45	6	15
4	156	13	16
4	174	24	26
4	8	11	20
5	190	6	13
5	46	18	23
5	187	6	16
5	167	13	21
5	27	13	23
5	11	21	29
5	132	14	18
5	10	21	29
5	108	1	10
5	200	0	8
5	54	10	14
5	83	20	27
5	30	9	14
5	138	16	26
6	29	5	13
6	96	11	16
6	41	12	20
6	38	2	8
6	165	22	25
6	162	2	8
6	172	3	12
6	79	7	8
6	172	6	9
6	123	19	21
6	42	14	21
6	22	6	13
6	8	23	30
6	87	6	8
6	159	1	10
6	14	18	28
7	83	5	10
7	58	17	23
7	14	10	14
7	172	24	32
7	101	18	19
7	192	3	6
8	131	23	27
8	73	6	13
8	29	12	15
8	89	10	18
8	43	5	7
8	4	23	30
8	138	21	30
8	42	8	17
8	67	21	24
8	84	13	21
8	164	23	33
8	89	7	15
8	91	20	28
8	56	20	23
8	69	10	11
8	151	10	16
8	29	11	13
9	187	23	30
9	107	5	14
9	116	14	15
9	185	9	18
9	161	2	5
9	85	8	15
9	173	15	20
9	159	0	1
9	118	10	12
9	58	0	7
9	14	0	8
9	47	22	23
9	21	15	19
10	89	0	10
10	185	18	25
10	41	4	14
10	151	1	2
10	124	9	10
10	137	9	16
10	96	2	3
10	169	20	21
10	176	2	6
10	22	13	18
10	33	12	22
10	44	4	10
10	178	11	18
10	15	13	15
10	162	16	18
10	103	14	22
11	56	0	7
11	163	17	22
11	82	22	31
11	196	0	7
11	170	6	12
11	183	24	31
11	72	15	22
11	69	24	34
